id;company_id;provider_id;name;fullname;has_wifi;has_plug;has_adjustable_seats;has_bicycle;transport_type
8379;10;4;navette;Navette Keolis;False;False;True;False;bus
8380;10;5;train;TER;False;False;True;False;train
8381;10;6;coraillunea;Intercités de Nuit;False;False;True;False;train
8382;10;8;eurostar;Eurostar;False;False;True;False;train
8383;10;9;corail;Intercités;False;False;True;False;train
8384;10;16;thalys;Thalys;True;True;False;True;train
8385;11;;bbc;Blablacar;False;False;False;False;carpooling
8387;30;;vatry;Vatry;False;False;False;False;bus
8388;40;;beauval;Beauval;False;False;False;False;bus
8389;12;;idvroom;idVroom;False;False;False;False;carpooling
